GSMID	GSM_SNAME	SampleName	GPLID	SampleType	TissueType	DiseaseState	RunDate
GSM878766	GSM878766_GEaN18	N18	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878767	GSM878767_GEaN19	N19	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878768	GSM878768_GEaN20	N20	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878769	GSM878769_GEaN21	N21	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878770	GSM878770_GEaN22	N22	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878771	GSM878771_GEaN23	N23	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878772	GSM878772_GEaN24	N24	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878773	GSM878773_GEaN25	N25	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878774	GSM878774_GEaN26	N26	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878775	GSM878775_GEaN27	N27	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878776	GSM878776_GEaN28	N28	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878777	GSM878777_GEaN29	N29	GPL6480	Normal	Prostate	BenignNormal	07-Feb-2007
GSM878788	GSM878788_GEaT17	T17	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878789	GSM878789_GEaT19	T19	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878790	GSM878790_GEaT20	T20	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878791	GSM878791_GEaT21	T21	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878792	GSM878792_GEaT24	T24	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878793	GSM878793_GEaT25	T25	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878794	GSM878794_GEaT26	T26	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878795	GSM878795_GEaT27	T27	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878796	GSM878796_GEaT29	T29	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878797	GSM878797_GEaT31	T31	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878798	GSM878798_GEaT32	T32	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878799	GSM878799_GEaT37	T37	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878800	GSM878800_GEaT39	T39	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878801	GSM878801_GEaT40	T40	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878802	GSM878802_GEaT41	T41	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878803	GSM878803_GEaT42	T42	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878804	GSM878804_GEaT43	T43	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878805	GSM878805_GEaT44	T44	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878806	GSM878806_GEaT45	T45	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878807	GSM878807_GEaT46	T46	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878808	GSM878808_GEaT47	T47	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878809	GSM878809_GEaT48	T48	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878810	GSM878810_GEaT49	T49	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878811	GSM878811_GEaT50	T50	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878812	GSM878812_GEaT51	T51	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878813	GSM878813_GEaT52	T52	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878814	GSM878814_GEaT53	T53	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878815	GSM878815_GEaT54	T54	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878816	GSM878816_GEaT55	T55	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878817	GSM878817_GEaT56	T56	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878818	GSM878818_GEaT57	T57	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878819	GSM878819_GEaT58	T58	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878820	GSM878820_GEaT59	T59	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878821	GSM878821_GEaT60	T60	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878822	GSM878822_GEaT61	T61	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878823	GSM878823_GEaT62	T62	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878824	GSM878824_GEaT63	T63	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878825	GSM878825_GEaT64	T64	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878826	GSM878826_GEaT65	T65	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878827	GSM878827_GEaT66	T66	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878828	GSM878828_GEaT67	T67	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878829	GSM878829_GEaT68	T68	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878830	GSM878830_GEaT69	T69	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878831	GSM878831_GEaT70	T70	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878832	GSM878832_GEaT73	T73	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878833	GSM878833_GEaT75	T75	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878834	GSM878834_GEaT82	T82	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878835	GSM878835_GEaT83	T83	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878836	GSM878836_GEaT85	T85	GPL6480	PrimaryTumor	Prostate	LocalizedPC	07-Feb-2007
GSM878865	GSM878865_GEaWA10	WA10	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878859	GSM878859_GEaWA11	WA11	GPL6480	MetastaticTumor	Lung	CPRC	07-Feb-2007
GSM878841	GSM878841_GEaWA13	WA13	GPL6848	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
GSM878860	GSM878860_GEaWA14	WA14	GPL6480	MetastaticTumor	Prostate	CPRC	07-Feb-2007
GSM878837	GSM878837_GEaWA16	WA16	GPL6848	MetastaticTumor	Diaphragm	CPRC	07-Feb-2007
GSM878845	GSM878845_GEaWA18	WA18	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878861	GSM878861_GEaWA19	WA19	GPL6480	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
GSM878857	GSM878857_GEaWA2	WA2	GPL6480	MetastaticTumor	-	CPRC	07-Feb-2007
GSM878842	GSM878842_GEaWA20	WA20	GPL6848	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878843	GSM878843_GEaWA22	WA22	GPL6848	MetastaticTumor	Prostate	CPRC	07-Feb-2007
GSM878866	GSM878866_GEaWA23	WA23	GPL6480	MetastaticTumor	BoneMarrow	CPRC	07-Sep-2005
GSM878844	GSM878844_GEaWA24	WA24	GPL6848	MetastaticTumor	Liver	CPRC	07-Sep-2005
GSM878846	GSM878846_GEaWA25	WA25	GPL6480	MetastaticTumor	Lung	CPRC	07-Feb-2007
GSM878862	GSM878862_GEaWA26	WA26	GPL6480	MetastaticTumor	-	CPRC	15-Aug-2006
GSM878863	GSM878863_GEaWA28	WA28	GPL6480	MetastaticTumor	PeriaorticLymphNode	CPRC	07-Feb-2007
GSM878867	GSM878867_GEaWA29	WA29	GPL6480	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
GSM878838	GSM878838_GEaWA3	WA3	GPL6848	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
GSM878868	GSM878868_GEaWA30	WA30	GPL6480	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
GSM878847	GSM878847_GEaWA31	WA31	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878848	GSM878848_GEaWA32	WA32	GPL6480	MetastaticTumor	Liver	CPRC	15-Aug-2006
GSM878849	GSM878849_GEaWA33	WA33	GPL6480	MetastaticTumor	SupraclavicularLymphNode	CPRC	07-Feb-2007
GSM878850	GSM878850_GEaWA35	WA35	GPL6480	MetastaticTumor	Mesentery	CPRC	07-Feb-2007
GSM878851	GSM878851_GEaWA37	WA37	GPL6480	MetastaticTumor	LungHilarLymphNode	CPRC	07-Feb-2007
GSM878852	GSM878852_GEaWA39	WA39	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878840	GSM878840_GEaWA4	WA4	GPL6848	MetastaticTumor	-	CPRC	15-Aug-2006
GSM878853	GSM878853_GEaWA40	WA40	GPL6480	MetastaticTumor	Liver	CPRC	15-Aug-2006
GSM878854	GSM878854_GEaWA42	WA42	GPL6480	MetastaticTumor	Adrenal	CPRC	15-Aug-2006
GSM878750	GSM878750_GEaN1	N1	GPL6848	Normal	Prostate	BenignNormal	07-Sep-2005
