ID	logFC	t	P.Value	adj.P.Val	B
4832	AGL	-2.11135378603592	-21.3424974127551	3.07346959992345e-43	1.99037891291043e-39	87.7535053856643
4620	DEFA3	4.21234071366706	18.8449576935579	4.00254824774203e-38	1.29602512261887e-34	76.1619056095896
3640	BAG2	-2.33370008763207	-18.6218422187296	1.1909431439718e-37	2.57084926678713e-34	75.086762145056
949	CTGF	-4.01263637563696	-17.2015529873936	1.42638254024276e-34	2.30931333265303e-31	68.0911186221924
3350	GOLGB1	-1.47076506500249	-16.9473402161064	5.20872673102795e-34	6.7463428620274e-31	66.8116901671958
2051	PTPN13	-1.98200056120313	-16.4016307056239	8.62520459705604e-33	9.30947082842249e-30	64.0378500808463
6447	USP25	-1.513012471653	-16.2358785535303	2.0375676259049e-32	1.88504113505145e-29	63.1880580927077
3996	USP16	-1.69853417278405	-15.7299715554917	2.86609676982621e-31	1.95072867723221e-28	60.5738605184808
754	METAP2	-1.41342947707209	-15.72811352899	2.89421929977671e-31	1.95072867723221e-28	60.5642034812145
494	PLN	-4.10897865977582	-15.7205085870616	3.01224317052534e-31	1.95072867723221e-28	60.5246728084151
3074	SSPN	-2.82783342916049	-15.5426173522175	7.68686358783173e-31	4.52546623589075e-28	59.5980674298671
4849	PCP4	-3.60040458139238	-15.4905132059946	1.01207307544778e-30	5.46182103049984e-28	59.3259722705701
3012	FBXL3	-1.96530943463654	-15.472182843797	1.11498903573654e-30	5.55436076571528e-28	59.2301743786805
1249	TRAF2	1.56810385360931	15.2717346914065	3.22296717607834e-30	1.49085253087738e-27	58.1800967633063
515	USO1	-1.77331509719024	-15.116503160982	7.35482500888509e-30	3.17532311716932e-27	57.3637862914854
1406	WBP4	-1.76818061682197	-14.9277319180958	2.01293911366268e-29	7.83684111504461e-27	56.3675172543403
4495	CD69	-3.76506103768786	-14.9236589854418	2.05723129950214e-29	7.83684111504461e-27	56.3459789448085
6293	ANKRD13D	1.4763764983658	14.9106150586411	2.20577225698589e-29	7.93587840902257e-27	56.2769885417266
1589	POLD1	1.48397057593537	14.8921381804037	2.43479577878303e-29	8.29880919126258e-27	56.1792313897817
409	RXRA	1.54587538243639	14.827801597102	3.43533305899601e-29	1.11236084450291e-26	55.8385541850654
5422	FOSB	-4.73484865872005	-14.6394001014872	9.43746358864959e-29	2.91033400952832e-26	54.8383951881142
5553	GBP1	-2.63197331818195	-14.6307426902138	9.88692171951978e-29	2.91035022980046e-26	54.7923463914634
4861	SEMA3C	-3.16593706316022	-14.5611469951035	1.43751693129579e-28	3.90009439223464e-26	54.4218842900663
719	DNTTIP2	-1.11776113211226	-14.5601344426661	1.4453716092284e-28	3.90009439223464e-26	54.4164907191003
3889	EIF2C2	1.49358953458005	14.5330405804855	1.67232368126813e-28	4.33198726395697e-26	54.2721304841553
5059	DNAJC10	-1.63263013105413	-14.4805052728962	2.21937241662779e-28	5.52794452695444e-26	53.9920001465191
1951	PLA2G4A	-2.23628547521344	-14.3780719455608	3.85676360627234e-28	9.25051893119246e-26	53.4449968229022
2306	SLC16A3	2.49936374420683	14.3387576508733	4.76927642519842e-28	1.10306550462803e-25	53.2347750708915
2248	ALAS2	2.633007137032	14.2105069195602	9.54500775231122e-28	2.1314989725506e-25	52.5479283403828
1839	CCNG1	-1.7782460686801	-14.1809772860538	1.12009059857843e-27	2.41790223879797e-25	52.3895544614944
2417	PIK3C3	-1.17839937698	-14.1724242092867	1.17323075006049e-27	2.4509168830296e-25	52.3436666609858
5521	NEXN	-2.8302477833431	-14.1484849115642	1.33580277037241e-27	2.70333085654116e-25	52.2151932633196
5169	STC2	2.77657725369316	14.1205014483303	1.55471944327123e-27	3.05101912564379e-25	52.0649464459809
3847	CRTC2	1.043225642386	14.1041544355935	1.69890507041519e-27	3.23591448117905e-25	51.9771425271946
2445	ANGPT1	-2.47196231281945	-13.9494961489262	3.93651423532944e-27	7.28367605371242e-25	51.14518332002
907	MKNK2	1.45329921950625	13.8858070729479	5.56767659505154e-27	1.00156315637649e-24	50.8019307204299
4797	PLOD3	1.31071558429047	13.7876764167445	9.50531088675514e-27	1.66368630547639e-24	50.2723316062658
1485	SPOCK3	-3.37572852760781	-13.7691057918138	1.05188424859351e-26	1.79263220891884e-24	50.1720107653053
2231	TAZ	1.33913162719326	13.7417020311971	1.22158306275751e-26	2.02845433703016e-24	50.0239161695625
3661	CEP250	1.29336532669272	13.7347158632177	1.26907373542543e-26	2.05463037765378e-24	49.9861510807657
682	CNTN1	-3.33150840646843	-13.7001378731867	1.53283948041812e-26	2.40775532021501e-24	49.7991696897074
6189	RGN	-2.19846250045144	-13.6967413315564	1.56154606931795e-26	2.40775532021501e-24	49.7807971363324
5602	C11orf58	-0.89878876671522	-13.674384247618	1.76443898218954e-26	2.65732717410686e-24	49.6598381573449
5467	LIMA1	-1.49372474622697	-13.6374348101906	2.15936478556269e-26	3.17819235256908e-24	49.4598345595712
4286	AARS2	1.16429580811003	13.5495196914009	3.49335092965802e-26	5.02732013788118e-24	48.9834870334046
5504	EMB	-2.13434862912676	-13.5311151607263	3.86378805142731e-26	5.43954161327027e-24	48.8836832826505
3979	TOP2B	-1.19382664493942	-13.4692910333915	5.42172349826832e-26	7.47044284569908e-24	48.5482169136647
5273	PMS1	-2.2119190501254	-13.4056418263964	7.68681436999968e-26	1.03707937208579e-23	48.2025173498138
5072	FBF1	1.2866028536658	13.3390175021323	1.10813708592999e-25	1.46455015683318e-23	47.840306524896
491	MAP1S	1.22221770006601	13.2976801268974	1.39068126220027e-25	1.80121037080179e-23	47.6153928363221
1323	EPS15	-1.19372540937305	-13.2297743623971	2.02013908080952e-25	2.53610281535272e-23	47.2456312144638
1958	CYR61	-3.28239685419236	-13.2283168611733	2.03640127236476e-25	2.53610281535272e-23	47.2376908794505
4912	EGR2	-3.66105832966119	-13.2245231225869	2.07934829813204e-25	2.5407282223968e-23	47.2170221667844
5373	C7orf50	1.20338784669868	13.2082947793049	2.27355189898891e-25	2.72657816626892e-23	47.1285958449727
